#це коментар
#формат: неправильно; правильно
#нотатка: коли є дієслово потрібно запевнитись, що є доконаний і недоконаний тип

понад сто; більше ста

завдати удару; нанести удар
завдавати удару; наносити удар

на адресу; за адресою

по суті; за суттю

тому що; так як

ґрати; грати

#відігравати роль; грати роль
#грати роль; відігравати роль

добрий гумор; гарний настрій

грудна клітка; грудна клітина

біля себе; при собі

із собою; при собі

а іменно; а саме

безвихідне становище; безпорадне становище

бігло ознайомитися; побіжно ознайомитися
бігло ознайомлюватися; побіжно ознайомлюватися

бігло читати; швидко читати
бігло прочитати; швидко прочитати

біжучий рік; поточний рік
ввиду цього; через це

виключати світло; вимикати світло
виключити світло; вимкнути світло
включати світло; вмикати світло
включити світло; увімкнути світло

вийти зі скрутного становища; зарадити собі в скруті
виходити зі скрутного становища; зараджувати собі в скруті

виписка з протоколу; витяг з протоколу

відповідно з постановою; відповідно до постанови

від радості; з радості

#любий; будь-який

в його честь; на його честь

в остаточному рахунку; у кінцевому підсумку

два роки назад; два роки тому

день за днем; день у день

диву даєшся; не надивуєшся

другим разом; іншим разом

друг друга знати; один одного знати

дрябла шкіра; в'яла шкіра

на кнопки; на кнопки

жила площа; житлова площа

за браком часу; через брак часу

завернути в папір; загорнути в папір

за границею; за кордоном

засипати пізно; засинати пізно

відкрити підручник; розгорнути підручник
відкривати підручник; розгортати підручник

відкрити книгу; розгорнути книгу
відкривати книгу; розгортати книгу

відкрити журнал; розгорнути журнал
відкривати журнал; розгортати журнал

заслуговує уваги; вартує уваги
заслуговувати уваги; вартувати уваги

здавати іспит; складати іспит
здати іспит; скласти іспит

з достоїнством; з гідністю

знімати квартиру; винаймати квартиру
зняти квартиру; винайняти квартиру

іменно так; саме так

інша справа; інша річ

і так дальше; і так далі

кидатися у вічі; впадати в очі

між тим; тим часом

на днях; цими днями

на дому; в дома

#на протязі;  протягом

невільно сказав; мимоволі сказав

не приходиться; не доводиться

нерадивий працівник; недбалий працівник

опинитися в дурнях; пошитися в дурні
опинятися в дурнях; пошиватися в дурні

пасти смертю хоробрих; полягти як герой

перетворювати в життя; перевтілювати в життя

#першим ділом;  щонайперше

під стать; до пари

повістка денна; порядок денний

по всякому поводу; з усякого приводу

по закону; за законом

по замовленню; на замовлення

показувати вигляд; давати взнаки
показати вигляд; дати взнаки

поля капелюха; криси капелюха

поля книги; береги книги

по формі; за формою

по цьому приводу; з цього приводу

по якому питанню; у якій справі

пояснююча записка; пояснювальна записка

при допомозі; за допомогою

приймати до відома; брати до відома
прийняти до відома; взяти до відома

приймати до уваги; брати до уваги
прийняти до уваги; взяти до уваги

приймати міри; вживати заходів
прийняти міри; вжити заходів

приймати участь; брати участь
прийняти участь; взяти участь

прикладати зусиль; докладати зусиль
прикласти зусиль; докласти зусиль

приносити шкоду; завдавати шкоди
принести шкоду; завдати шкоди

приходить на думку; спадає на думку
прийти на думку; спасти на думку

приходиться працювати; доводиться працювати
радувати око; тішити око

рідко траплятися; зрідка траплятися

річний транспорт; річковий транспорт

родильний будинок; пологовий будинок

справа тонка; справа делікатна

строїтися в шеренгу; шикуватися в лаву

так як; тому що

удільна вага; питома вага

у розстрочку; на виплату

халатне ставлення; недбале ставлення

роза; троянда
троянда вітрів; роза вітрів

чуть не; мало не

шальна куля; дурна куля

#любий; будь-який
#тиждень; неділя
#літнього віку; похилого віку

залучений; задіяний

слідуючий день; наступний день

строк; термін
мінута; хвилина
минута; хвилина

#рачки; начетвереньках
